"book","chapter","verse","edition","text" 
"1Cr","1","19","3.02","γράφω@vixp3s γάρ@cc [ἀπόλλυμι@vifa1s ὁ@dafs σοφία@nafsc ὁ@dgmp σοφός@angmpn καί@cc ὁ@dafs σύνεσις@nafsc ὁ@dgmp συνετός@angmpn ἀθετέω@vifa1s]" 
"1Cr","1","20b","3.02","[οὐχί@b μωραίνω@viaa3s ὁ@dnms θεός@nnmsc ὁ@dafs σοφία@nafsc ὁ@dgms κόσμος@ngmsc]" 
"1Cr","1","21","3.02","ἐπειδή@cs ἐν@pd [ὁ@ddfs σοφία@ndfsc ὁ@dgms θεός@ngmsc οὐ@b γινώσκω@viaa3s ὁ@dnms κόσμος@nnmsc] διά@pg ὁ@dgfs σοφία@ngfsc ὁ@dams κύριος@namsc [εὐδοκέω@viaa3s ὁ@dnms θεός@nnmsc διά@pg ὁ@dgfs μωρία@ngfsc ὁ@dgns κήρυγμα@ngnsc σῴζω@vnaa ὁ@damp πιστεύω@vppaamp]" 
"1Cr","1","22","3.02","ἐπειδή@cs Ἰουδαῖος@annmpn [σημεῖον@nanpc αἰτέω@vipa3p καί@cc Ἕλλην@nnmpp σοφία@nafsc ζητέω@vipa3p]" 
"1Cr","1","23","3.02","[ἐγώ@rpn-p δέ@cc κηρύσσω@vipa1p Χριστός@namsp σταυρόω@vpxpams Ἰουδαῖος@andmpn μέν@x σκάνδαλον@nansc ἔθνος@ndnpc δέ@cc μωρία@nafsc]" 
"1Cr","1","25","3.02","[ὅτι@cs ὁ@dnns μωρός@annnsn ὁ@dgms θεός@ngmsc σοφός@annnsc ὁ@dgmp ἄνθρωπος@ngmpc εἰμί@vipa3s καί@cc ὁ@dnns ἀσθενής@annnsn ὁ@dgms θεός@ngmsc ἰσχυρός@annnsc ὁ@dgmp ἄνθρωπος@ngmpc]" 
"1Cr","1","27","3.02","[ἀλλά@cc ὁ@danp μωρός@ananpn ὁ@dgms κόσμος@ngmsc ἐκλέγω@viam3s ὁ@dnms θεός@nnmsc ἵνα@cs] καταισχύνω@vspa3s ὁ@danp σοφός@ananpn [καί@cc ὁ@danp ἀσθενής@ananpn ὁ@dgms κόσμος@ngmsc ἐκλέγω@viam3s ὁ@dnms θεός@nnmsc ἵνα@cs καταισχύνω@vspa3s ὁ@danp ἰσχυρός@ananpn]" 
"1Cr","1","28","3.02","καί@cc ὁ@danp ἀγενής@ananpn καί@cc ὁ@danp ἐλαχύς@ananps καί@cc ὁ@danp ἐξουθενέω@vpxpanp [ἐκλέγω@viam3s ὁ@dnms θεός@nnmsc ὁ@danp μή@x εἰμί@vppaanp ἵνα@cs ὁ@danp εἰμί@vppaanp καταργέω@vsaa3s]" 
"1Cr","1","29","3.02","[ὅπως@cs μή@x καυχάομαι@vsam3s πᾶς@ainfsn σάρξ@nnfsc ἐνώπιον@pg ὁ@dgms θεός@ngmsc]" 
"1Cr","1","31","3.02","[ἵνα@cs καθώς@cs γράφω@vixp3s ὁ@dnms καυχάομαι@vppmnms ἐν@pd κύριος@ndmsc καυχάομαι@vdpm3s]" 
"1Cr","2","06","3.02","[σοφία@nafsc δέ@cc λαλέω@vipa1p ἐν@pd ὁ@ddmp τέλειος@andmpn σοφία@nafsc δέ@cc οὐ@b ὁ@dgms αἰών@ngmsc οὗτος@rdgms οὐδέ@cc ὁ@dgmp ἄρχων@ngmpc ὁ@dgms αἰών@ngmsc οὗτος@rdgms ὁ@dgmp καταργέω@vpppgmp]" 
"1Cr","2","07","3.02","[ἀλλά@cc λαλέω@vipa1p θεός@ngmsc σοφία@nafsc ἐν@pd μυστήριον@ndnsc ὁ@dafs ἀποκρύπτω@vpxpafs ὅς@rrafs προορίζω@viaa3s ὁ@dnms θεός@nnmsc πρό@pg ὁ@dgmp αἰών@ngmpc εἰς@pa δόξα@nafsc ἐγώ@rpg-p]" 
